nomem_encr,cf19l_m,cf19l390,cf19l391,cf19l392,cf19l393,cf19l394,cf19l395,cf19l396,cf19l397
54417,201909,4,4,3,06-09-2019,10:53:08,06-09-2019,10:57:28,260
54419,201909,2,2,2,22-09-2019,21:54:19,22-09-2019,21:58:20,241
54421,201909,1,1,5,21-09-2019,14:27:01,21-09-2019,14:32:04,303
54421,201909,3,3,3,02-09-2019,14:39:08,02-09-2019,14:44:15,307
54422,201909,5,5,5,02-09-2019,12:48:39,02-09-2019,12:56:07,448
54422,201909,4,4,4,02-09-2019,13:13:05,02-09-2019,13:18:20,315
54422,201909,5,5,5,12-09-2019,15:44:17,12-09-2019,15:49:03,286
54425,201909,3,3,3,24-09-2019,14:14:16,24-09-2019,14:22:13,477
54425,201909,3,3,3,24-09-2019,21:21:50,24-09-2019,21:26:01,251
54426,201909,2,4,4,06-09-2019,15:19:22,06-09-2019,15:25:41,379
54427,201909,3,5,4,16-09-2019,19:51:58,16-09-2019,20:00:05,487
54427,201909,4,4,4,02-09-2019,19:42:07,02-09-2019,19:50:58,531
54430,201909,2,4,4,06-09-2019,15:44:20,06-09-2019,15:49:49,329
54431,201909,4,5,5,18-09-2019,10:28:42,18-09-2019,10:40:04,682
54432,201909,1,5,5,03-09-2019,09:42:06,03-09-2019,09:44:59,173
54435,201909,5,5,5,04-09-2019,15:15:09,04-09-2019,15:17:40,151
54436,201909,3,4,4,16-09-2019,17:45:02,16-09-2019,17:49:22,260
54436,201909,4,4,3,06-09-2019,20:26:35,06-09-2019,20:33:39,424
54439,201909,3,3,2,07-09-2019,17:29:29,07-09-2019,17:31:53,144
54439,201909,4,4,4,11-09-2019,20:38:48,11-09-2019,20:46:49,481
54440,201909,4,4,4,23-09-2019,21:11:04,23-09-2019,21:18:42,458
54441,201909,5,5,5,05-09-2019,15:33:15,05-09-2019,15:37:31,256
54442,201909,4,4,4,18-09-2019,15:38:05,18-09-2019,15:41:23,198
54443,201909,3,4,4,02-09-2019,17:15:36,02-09-2019,17:20:23,287
54444,201909,4,4,5,22-09-2019,13:20:24,22-09-2019,13:26:00,336
54445,201909,4,4,4,17-09-2019,09:42:32,17-09-2019,09:47:38,306
54445,201910,2,4,5,07-10-2019,20:33:02,07-10-2019,20:51:55,1133
54447,201909,4,3,4,02-09-2019,12:46:27,02-09-2019,12:56:19,592
54448,201909,3,4,4,08-09-2019,11:31:57,08-09-2019,11:37:27,330
54448,201909,4,4,4,23-09-2019,17:28:05,23-09-2019,19:44:31,8186
54450,201909,4,5,5,24-09-2019,21:55:47,24-09-2019,22:02:31,404
54450,201909,1,4,5,17-09-2019,18:33:22,17-09-2019,18:38:59,337
54451,201910,3,3,3,07-10-2019,15:10:54,07-10-2019,15:16:17,323
54452,201909,5,5,5,16-09-2019,00:16:28,15-10-2019,17:15:14,2566726
54456,201909,5,4,4,02-09-2019,21:37:56,02-09-2019,21:43:16,320
54456,201909,2,3,3,02-09-2019,15:00:24,02-09-2019,15:06:36,372
54456,201909,1,3,3,02-09-2019,14:52:37,02-09-2019,14:55:29,172
54458,201909,5,5,5,14-09-2019,17:58:48,14-09-2019,18:04:28,340
54458,201909,3,3,3,24-09-2019,09:51:57,24-09-2019,09:58:12,375
54458,201910,2,4,5,08-10-2019,16:48:19,08-10-2019,16:54:03,344
54460,201909,1,1,1,05-09-2019,15:51:52,05-09-2019,15:56:12,260
54462,201909,1,1,5,08-09-2019,14:28:12,08-09-2019,14:36:12,480
54463,201909,5,5,5,08-09-2019,15:53:46,08-09-2019,16:59:32,3946
54463,201909,2,3,3,08-09-2019,12:07:08,08-09-2019,12:10:12,184
54465,201909,5,4,4,03-09-2019,11:41:50,03-09-2019,11:48:30,400
54467,201909,5,5,5,23-09-2019,10:20:18,23-09-2019,10:33:31,793
54467,201909,5,5,5,23-09-2019,20:26:45,23-09-2019,20:31:46,301
54468,201909,1,1,1,02-09-2019,17:46:24,02-09-2019,17:58:12,708
54468,201909,4,4,3,02-09-2019,13:07:41,02-09-2019,13:13:02,321
54468,201909,5,5,5,02-09-2019,14:12:25,02-09-2019,14:19:51,446
54469,201909,3,3,3,02-09-2019,16:52:02,02-09-2019,16:55:39,217
54471,201909,2,2,2,19-09-2019,16:17:23,19-09-2019,16:23:13,350
54471,201910,3,3,3,14-10-2019,09:09:00,14-10-2019,09:16:16,436
54471,201909,4,4,4,05-09-2019,06:47:08,05-09-2019,06:58:07,659
54472,201909,1,3,5,03-09-2019,15:55:17,03-09-2019,15:59:53,276
54473,201909,3,4,5,07-09-2019,22:06:23,07-09-2019,22:09:45,202
54475,201909,3,3,3,24-09-2019,15:40:00,24-09-2019,15:44:50,290
54477,201909,3,5,5,20-09-2019,21:55:51,20-09-2019,22:06:36,645
54477,201909,5,5,5,12-09-2019,15:40:16,12-09-2019,15:42:56,160
54477,201909,3,3,3,16-09-2019,15:50:28,16-09-2019,15:54:59,271
54479,201909,2,3,3,02-09-2019,12:44:29,02-09-2019,12:45:46,77
54486,201909,2,3,3,22-09-2019,17:14:55,22-09-2019,17:20:22,327
54486,201909,3,5,5,02-09-2019,18:06:59,02-09-2019,18:12:56,357
54491,201909,2,2,3,04-09-2019,10:14:16,04-09-2019,10:28:44,868
54492,201909,5,5,5,02-09-2019,17:58:44,02-09-2019,18:05:48,424
54493,201909,4,4,4,07-09-2019,16:11:42,07-09-2019,16:36:08,1466
54494,201909,2,3,3,20-09-2019,09:09:44,20-09-2019,09:13:33,229
54494,201909,3,3,3,02-09-2019,20:59:55,02-09-2019,21:04:10,255
54494,201909,1,3,4,23-09-2019,11:06:59,23-09-2019,11:11:24,265
54496,201909,4,4,4,04-09-2019,16:41:18,04-09-2019,16:47:48,390
54499,201910,2,5,4,13-10-2019,20:22:31,13-10-2019,20:50:35,1684
54502,201909,3,3,4,21-09-2019,14:56:50,21-09-2019,15:03:29,399
54503,201909,5,5,5,16-09-2019,20:49:36,16-09-2019,20:54:01,265
54504,201909,4,4,5,24-09-2019,21:42:23,28-10-2019,07:43:30,2887267
54508,201909,1,2,3,22-09-2019,13:12:04,22-09-2019,13:13:13,69
54510,201909,4,5,4,11-09-2019,16:23:09,11-09-2019,16:35:45,756
54511,201909,3,4,5,22-09-2019,09:16:47,22-09-2019,09:17:56,69
54512,201909,5,5,5,02-09-2019,23:19:54,02-09-2019,23:23:37,223
54513,201909,4,4,3,06-09-2019,01:54:51,06-09-2019,01:59:40,289
54515,201909,1,2,3,17-09-2019,21:30:57,17-09-2019,21:36:01,304
54516,201909,4,4,4,04-09-2019,17:55:05,04-09-2019,18:00:54,349
54520,201909,5,5,5,23-09-2019,20:44:54,23-09-2019,20:50:52,358
54520,201909,4,4,4,02-09-2019,18:33:49,02-09-2019,18:39:13,324
54523,201909,2,5,5,03-09-2019,21:11:23,03-09-2019,21:28:03,1000
54523,201909,1,3,4,24-09-2019,11:23:53,24-09-2019,11:26:44,171
54525,201909,5,5,4,16-09-2019,19:27:22,16-09-2019,19:36:35,553
54526,201909,5,5,5,23-09-2019,21:43:31,23-09-2019,21:50:40,429
54526,201909,2,3,4,14-09-2019,18:33:11,14-09-2019,18:37:30,259
54526,201909,5,5,5,24-09-2019,21:32:27,24-09-2019,21:35:14,167
54527,201909,4,4,4,06-09-2019,19:50:22,06-09-2019,19:54:05,223
54527,201909,2,2,4,03-09-2019,14:40:01,03-09-2019,14:43:21,200
54529,201909,3,3,3,23-09-2019,20:47:44,23-09-2019,20:49:51,127
54532,201909,3,4,4,16-09-2019,18:47:37,16-09-2019,18:50:24,167
54533,201909,3,3,3,24-09-2019,19:31:56,24-09-2019,19:36:30,274
54535,201910,3,3,3,28-10-2019,08:59:39,28-10-2019,09:03:09,210
54535,201909,2,3,3,22-09-2019,15:04:04,22-09-2019,15:09:23,319
54535,201909,2,3,4,02-09-2019,14:19:55,02-09-2019,14:23:06,191
54537,201909,1,2,3,02-09-2019,16:04:24,02-09-2019,16:14:12,588
54537,201909,3,4,3,04-09-2019,11:01:08,04-09-2019,11:04:58,230
54539,201909,3,3,3,11-09-2019,16:11:53,11-09-2019,16:21:18,565
54541,201909,3,2,2,05-09-2019,22:56:14,05-09-2019,23:00:23,249
54541,201909,1,3,4,03-09-2019,13:00:57,03-09-2019,13:04:59,242
54543,201909,2,2,3,04-09-2019,05:43:47,04-09-2019,05:46:42,175
54545,201909,3,3,3,24-09-2019,12:13:19,24-09-2019,12:16:47,208
54545,201909,4,4,4,08-09-2019,21:42:47,08-09-2019,21:51:37,530
54546,201909,3,5,5,07-09-2019,13:52:07,07-09-2019,13:58:05,358
54549,201909,5,5,5,16-09-2019,15:55:02,16-09-2019,15:59:53,291
54549,201910,5,5,5,23-10-2019,18:49:25,23-10-2019,18:56:10,405
54551,201909,4,4,3,16-09-2019,11:08:13,16-09-2019,11:13:30,317
54552,201910,3,4,3,25-10-2019,23:10:56,25-10-2019,23:12:39,103
54553,201909,3,3,4,24-09-2019,13:48:03,24-09-2019,13:51:26,203
54556,201909,5,5,5,21-09-2019,20:02:46,21-09-2019,20:50:40,2874
54557,201909,5,4,4,02-09-2019,14:12:01,02-09-2019,15:03:01,3060
54558,201909,4,5,3,16-09-2019,22:44:24,16-09-2019,22:59:27,903
54563,201909,1,3,3,16-09-2019,19:17:07,16-09-2019,19:23:24,377
54563,201909,3,3,3,22-09-2019,10:51:34,22-09-2019,10:59:17,463
54565,201909,2,3,3,17-09-2019,10:50:48,17-09-2019,10:57:07,379
54566,201909,3,3,3,18-09-2019,22:11:42,18-09-2019,22:16:46,304
54566,201910,2,3,4,21-10-2019,22:51:38,21-10-2019,23:02:02,624
54567,201909,1,3,4,21-09-2019,14:24:35,21-09-2019,14:46:53,1338
54567,201909,3,3,5,22-09-2019,12:19:17,22-09-2019,12:25:15,358
54568,201910,1,4,4,08-10-2019,08:26:11,08-10-2019,08:39:23,792
54569,201909,4,4,4,02-09-2019,16:03:40,02-09-2019,16:11:53,493
54569,201909,2,4,4,16-09-2019,20:54:40,16-09-2019,21:18:12,1412
54570,201910,3,3,3,07-10-2019,17:08:40,07-10-2019,17:13:19,279
54570,201909,4,3,3,09-09-2019,21:17:21,09-09-2019,21:21:27,246
54571,201909,5,5,5,16-09-2019,14:52:55,16-09-2019,14:56:02,187
54571,201909,4,5,5,08-09-2019,23:02:06,08-09-2019,23:14:15,729
54571,201909,5,5,5,08-09-2019,21:35:23,08-09-2019,21:44:57,574
54573,201909,2,4,4,10-09-2019,19:13:54,10-09-2019,19:24:47,653
54576,201910,3,3,3,13-10-2019,14:41:56,13-10-2019,14:50:31,515
54576,201909,2,4,3,05-09-2019,13:08:23,11-09-2019,16:41:11,531168
54577,201910,3,3,2,17-10-2019,19:03:31,17-10-2019,19:11:01,450
54577,201909,4,4,4,16-09-2019,11:44:03,16-09-2019,11:45:51,108
